ID;Anio;DepartamentoCodigo;SeccionalPolicialCodigo;AreaSupervision;AreaEnumeracion;ActividadCodigo;GiroCodigo;NaturalezaJuridicaCodigo;EstratoCodigo;EspecieCodigo;TipoProduccionCodigo;Litros;CantidadTenedoresPorProduccionLeche;EspecializacionMGAPCodigo;TipoProduccionMGAPCodigo;EspecializacionMGAPConfianza;TipoProduccionMGAPConfianza
0;2016;1;2;0;0;-;-;5;1;11;2;74000;1;1;1;0.735693;0.506135
1;2016;1;2;0;0;-;-;5;1;11;4;2000;1;1;1;0.733127;0.504253
2;2016;1;2;0;0;-;-;5;1;11;5;5000;1;1;1;0.735261;0.513388
3;2016;1;2;0;0;-;18;5;1;11;1;65700;1;1;1;1.000000;0.981059
4;2016;1;2;0;0;-;18;5;1;11;3;14600;1;1;1;0.989375;0.949441
5;2016;1;2;0;0;-;18;5;1;11;4;750;1;1;1;0.999167;0.983782
6;2016;1;2;0;0;-;18;5;1;11;5;5500;1;1;1;1.000000;0.972536
7;2016;1;3;0;0;-;18;5;1;4;4;1080;1;1;1;0.722126;0.508324
8;2016;1;3;0;0;-;18;5;1;11;1;171400;3;1;1;0.919841;0.917272
9;2016;1;3;0;0;-;18;5;1;11;4;1620;3;1;1;0.923114;0.910114
10;2016;1;3;0;0;-;18;5;1;11;5;1100;2;1;1;0.939558;0.935028
11;2016;1;3;0;0;-;18;11;1;11;1;97000;2;1;1;0.876806;0.763181
12;2016;1;3;0;0;-;18;11;1;11;4;2100;2;1;1;0.881806;0.777379
13;2016;1;3;0;0;-;18;11;1;11;5;4300;2;1;1;0.888806;0.782063
14;2016;1;3;204;204001;-;01;5;3;11;1;47450;1;2;3;0.930796;0.852162
15;2016;1;3;204;204001;-;01;5;3;11;4;1825;1;2;3;0.891290;0.869496
16;2016;1;3;204;204001;-;01;5;3;11;5;7300;1;2;3;0.879471;0.855451
17;2016;1;3;204;204001;-;02;11;2;11;1;20000;1;2;3;0.974546;0.977197
18;2016;1;3;204;204001;-;02;11;2;11;4;1500;1;2;3;0.961005;0.963146
19;2016;1;3;204;204001;-;02;11;2;11;5;3500;1;2;3;0.949327;0.961510
20;2016;1;3;204;204001;-;03;5;2;11;1;14400;1;2;3;0.822471;0.713971
21;2016;1;3;204;204001;-;03;5;2;11;4;720;1;2;3;0.779487;0.734290
22;2016;1;6;202;202003;-;01;11;4;11;2;63000;1;2;3;0.967669;0.959622
23;2016;1;6;203;203008;-;01;5;2;11;2;14400;1;2;3;0.906862;0.868435
24;2016;1;7;0;0;-;18;5;1;11;2;47450;2;1;1;0.930549;0.918973
25;2016;1;7;0;0;-;18;5;1;11;4;1460;2;1;1;0.930000;0.943782
26;2016;1;7;0;0;-;18;5;1;11;5;9490;2;1;1;0.940000;0.935028
27;2016;1;8;0;0;-;01;11;5;11;2;43800;1;2;3;0.972215;0.970457
28;2016;1;8;0;0;-;01;11;5;11;4;730;1;2;3;0.987668;0.989533
29;2016;1;8;0;0;-;01;11;5;11;5;44530;1;2;3;0.977606;0.990554
30;2016;1;8;202;202001;-;01;5;4;11;2;36500;1;2;3;0.945300;0.917274
31;2016;1;8;202;202001;-;01;5;4;11;5;8950;1;2;3;0.887729;0.858716
32;2016;1;12;203;203003;-;01;5;5;11;1;80000;1;2;3;0.879480;0.813868
33;2016;1;12;203;203003;-;01;5;5;11;5;500;1;2;3;0.817401;0.841337
34;2016;1;12;203;203003;-;02;5;3;11;1;20000;1;2;3;0.941415;0.891285
35;2016;1;12;203;203003;-;02;5;3;11;4;300;1;2;3;0.948331;0.899260
36;2016;1;12;203;203003;-;02;5;3;11;5;1000;1;2;3;0.932660;0.913090
37;2016;1;12;203;203004;-;01;11;2;11;1;75800;2;2;3;0.987480;0.971459
38;2016;1;12;203;203004;-;01;11;2;11;2;20000;1;2;3;0.901480;0.878649
39;2016;1;12;203;203004;-;01;11;2;11;4;1000;2;2;3;0.970821;0.983536
40;2016;1;12;203;203004;-;01;11;2;11;5;7000;2;2;3;0.987058;0.963538
41;2016;1;12;203;203004;-;02;5;2;11;1;30840;1;2;3;0.890397;0.856406
42;2016;1;12;203;203004;-;02;5;2;11;4;560;1;2;3;0.921391;0.859141
43;2016;1;12;203;203004;-;02;11;2;11;1;24000;1;2;3;0.970331;0.977197
44;2016;1;12;203;203004;-;02;11;2;11;2;19000;1;2;3;0.901783;0.919765
45;2016;1;12;203;203004;-;02;11;2;11;4;300;1;2;3;0.925151;0.957851
46;2016;1;12;203;203004;-;02;11;2;11;5;2200;1;2;3;0.966246;0.962777
47;2016;1;12;203;203004;-;02;11;4;11;1;20000;1;2;3;0.981071;0.980563
48;2016;1;12;203;203004;-;02;11;4;11;4;500;1;2;3;0.960011;0.968990
49;2016;1;12;203;203004;-;02;11;4;11;5;1000;1;2;3;0.956649;0.962498
50;2016;1;12;204;204006;-;01;11;5;11;1;20000;1;2;3;0.979274;0.991303
51;2016;1;12;204;204006;-;01;11;5;11;4;300;1;2;3;0.976675;0.989533
52;2016;1;12;204;204006;-;01;11;5;11;5;500;1;2;3;0.969510;0.991001
53;2016;2;1;301;301006;-;02;5;4;11;2;586138;1;2;3;0.982092;0.992502
54;2016;2;1;301;301006;-;02;5;4;11;4;4380;1;2;3;0.990719;0.993000
55;2016;2;1;302;302002;-;02;5;5;11;2;1296036;1;2;3;0.992988;0.996263
56;2016;2;1;302;302002;-;02;5;5;11;4;2718;1;2;3;0.978757;0.994003
57;2016;2;1;302;302002;-;02;5;5;11;5;52070;1;2;3;0.992964;0.994830
58;2016;2;1;302;302002;-;02;11;2;11;2;269249;1;2;3;0.950834;0.968401
59;2016;2;1;302;302002;-;02;11;2;11;4;730;1;2;3;0.987855;0.986560
60;2016;2;1;302;302002;-;02;11;2;11;5;5040;1;2;3;0.980871;0.988990
61;2016;2;1;302;302002;-;03;11;3;11;2;130140;1;2;3;0.895171;0.920474
62;2016;2;1;302;302002;-;03;11;3;11;4;2200;1;2;3;0.886194;0.879868
63;2016;2;1;302;302002;-;03;11;3;11;5;7800;1;2;3;0.894262;0.931484
64;2016;2;1;302;302003;-;01;5;3;11;3;18000;1;2;3;0.919620;0.905916
65;2016;2;1;302;302003;-;01;5;3;11;4;30;1;2;3;0.768593;0.817335
66;2016;2;1;302;302003;-;02;2;4;11;2;427609;1;2;3;0.956075;0.989791
67;2016;2;1;302;302003;-;02;2;4;11;4;1600;1;2;3;0.980762;0.990482
68;2016;2;1;302;302003;-;02;2;4;11;5;36000;1;2;3;0.979141;0.988116
69;2016;2;1;302;302003;-;02;5;2;11;1;35040;1;2;3;0.987641;0.987160
70;2016;2;1;302;302003;-;02;5;2;11;2;856732;3;2;3;0.997397;0.992348
71;2016;2;1;302;302003;-;02;5;2;11;4;3600;3;2;3;0.999198;0.996224
72;2016;2;1;302;302003;-;02;5;2;11;5;71800;3;2;3;0.989657;0.995003
73;2016;2;1;302;302003;-;02;5;3;11;1;30000;1;2;3;0.992069;0.997424
74;2016;2;1;302;302003;-;02;5;3;11;2;270000;1;2;3;0.967973;0.994687
75;2016;2;1;302;302003;-;02;5;3;11;4;1000;1;2;3;0.985108;0.993278
76;2016;2;1;302;302003;-;02;5;3;11;5;2000;1;2;3;0.986702;0.992371
77;2016;2;1;302;302003;-;02;5;4;11;2;184649;1;2;3;0.986022;0.990976
78;2016;2;1;302;302003;-;02;5;4;11;4;1200;1;2;3;0.986201;0.992197
79;2016;2;1;302;302003;-;02;5;4;11;5;7000;1;2;3;0.985126;0.992149
80;2016;2;1;302;302003;-;02;11;3;11;2;80000;1;2;3;0.977345;0.971352
81;2016;2;1;302;302003;-;02;11;3;11;4;1200;1;2;3;0.984261;0.979714
82;2016;2;1;302;302003;-;02;11;3;11;5;15800;1;2;3;0.982716;0.979161
83;2016;2;1;302;302003;-;02;12;3;11;2;227034;1;2;3;0.958118;0.980835
84;2016;2;1;302;302003;-;02;12;3;11;4;730;1;2;3;0.987003;0.976554
85;2016;2;1;302;302003;-;02;12;3;11;5;4015;1;2;3;0.983133;0.971822
86;2016;2;1;302;302003;-;02;14;5;11;2;1060000;1;2;3;0.982251;0.994057
87;2016;2;1;302;302003;-;02;14;5;11;4;4500;1;2;3;0.989319;0.991018
88;2016;2;1;302;302003;-;02;14;5;11;5;13200;1;2;3;0.987536;0.996284
89;2016;2;1;302;302004;-;02;5;4;11;2;562982;1;2;3;0.982092;0.992502
90;2016;2;1;302;302004;-;02;5;4;11;4;2900;1;2;3;0.972356;0.992802
91;2016;2;1;302;302005;-;01;5;4;11;1;40000;1;2;3;0.954253;0.947726
92;2016;2;1;302;302005;-;01;5;4;11;2;170000;1;2;3;0.892843;0.884466
93;2016;2;1;302;302005;-;01;5;4;11;4;2500;1;2;3;0.950840;0.919333
94;2016;2;1;302;302005;-;01;5;4;11;5;20000;1;2;3;0.923294;0.928817
95;2016;2;1;302;302005;-;02;5;3;11;1;180636;2;2;3;0.996276;0.998519
96;2016;2;1;302;302005;-;02;5;3;11;2;370408;2;2;3;0.995483;0.997757
97;2016;2;1;302;302005;-;02;5;3;11;4;3470;3;2;3;0.999701;0.996056
98;2016;2;1;302;302005;-;02;5;3;11;5;47000;3;2;3;0.999134;0.998490
99;2016;2;1;302;302005;-;02;8;2;11;2;115000;1;2;3;0.960206;0.979895
