ID;Anio;DepartamentoCodigo;SeccionalPolicialCodigo;AreaSupervision;AreaEnumeracion;ActividadCodigo;GiroCodigo;NaturalezaJuridicaCodigo;EstratoCodigo;EspecieCodigo;ProductoCodigo;Litros;EspecializacionMGAPCodigo;TipoProduccionMGAPCodigo;EspecializacionMGAPConfianza;TipoProduccionMGAPConfianza
0;2016;1;2;0;0;-;18;5;1;11;8;14600;1;1;0.891765;0.864431
1;2016;2;3;303;303004;-;02;5;2;11;8;5000;2;3;0.980673;0.948012
2;2016;2;3;304;304002;-;40;11;2;4;8;1538;4;3;0.518055;0.356671
3;2016;2;6;318;318003;-;02;11;2;11;8;20000;2;3;0.992923;0.988506
4;2016;2;6;318;318003;-;40;5;2;4;8;240;4;9;0.499055;0.420303
5;2016;2;6;319;319005;-;02;8;2;11;8;133250;2;3;0.993643;0.971501
6;2016;2;8;0;0;-;18;5;1;11;8;30000;1;1;0.848340;0.707932
7;2016;2;8;314;314001;-;01;5;2;11;8;30000;2;3;0.826820;0.767002
8;2016;2;8;314;314008;-;01;5;2;11;8;36500;2;3;0.826820;0.767002
9;2016;2;10;307;307002;-;02;11;3;11;8;3000;2;3;0.983190;0.973962
10;2016;2;10;308;308002;-;16;5;2;11;8;70000;2;3;0.615094;0.545823
11;2016;2;10;308;308005;-;02;11;2;11;8;70000;2;3;0.994647;0.983474
12;2016;2;10;309;309003;-;02;5;2;11;8;4000;2;3;0.980673;0.948012
13;2016;2;10;309;309004;-;02;5;2;11;8;1800;2;3;0.978557;0.955967
14;2016;2;10;309;309004;-;02;11;2;11;8;22500;2;3;0.996495;0.988506
15;2016;2;10;309;309005;-;02;11;2;11;8;2550;2;3;0.983804;0.971441
16;2016;2;19;315;315008;-;02;9;2;11;8;40000;2;3;0.991575;0.977657
17;2016;3;2;0;0;-;18;5;1;11;8;92000;1;1;0.856579;0.869154
18;2016;4;0;0;0;-;-;0;1;11;8;364000;1;1;0.609889;0.599640
19;2016;4;2;505;505004;-;02;5;3;11;8;110000;2;3;0.977752;0.967450
