fuente;tabla;Anio;DepartamentoCodigo;EstacionAgr;columna;n_registros;n_vacios;n_marcadores_nulo;n_ceros;n_guiones;n_faltantes_csv;n_presentes;porcentaje_faltantes
INIA;INIA;2016;15;Salto Grande;AmplitudTermica;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;Anio;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;Dia;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;EstacionAgr;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;EvapPiche;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;EvapTanque;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;EvapotranspPenman;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;GradosMenos10;366;24;0;5;0;24;342;6,5574
INIA;INIA;2016;15;Salto Grande;GradosMenos10p5;366;27;0;9;0;27;339;7,377
INIA;INIA;2016;15;Salto Grande;GradosMenos12p8;366;54;0;26;0;54;312;14,7541
INIA;INIA;2016;15;Salto Grande;GradosMenos4p5;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;GradosMenos6;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;GradosMenos7;366;2;0;0;0;2;364;0,5464
INIA;INIA;2016;15;Salto Grande;GradosMenos8;366;8;0;0;0;8;358;2,1858
INIA;INIA;2016;15;Salto Grande;GradosMenos9;366;12;0;3;0;12;354;3,2787
INIA;INIA;2016;15;Salto Grande;HR100;366;0;0;327;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;HR90y99;366;0;0;106;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;HRMax;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;HRMed;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;HRMin;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;HeladaAgromet;366;0;0;311;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;HeladaMeteo;366;0;0;366;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;Heliofania(hrs);366;0;0;47;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;HeliofaniaRelativa;366;0;0;47;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;Llovio;366;0;0;252;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;Mes;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;PrecipAcum;366;0;0;252;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;PrecipEfectiva;366;0;0;252;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;RadSolar;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;RecorridoViento;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;TMedia;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;TMin15;366;0;0;164;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;TMinSCesped;366;0;0;3;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;TempAireMax;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;TempAireMedia;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;TempAireMin;366;0;0;1;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;TempMin7p2;366;0;0;299;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;TempSC05cm(max);366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;TempSC05cm(med);366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;TempSC05cm(min);366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;TempSC10cm(max);366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;TempSC10cm(med);366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;TempSC10cm(min);366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;TempSD05cm(max);366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;TempSD05cm(med);366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;TempSD05cm(min);366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;TempSD10cm(max);366;0;0;0;0;0;366;0,0
INIA;INIA;2016;15;Salto Grande;TempSD10cm(med);366;0;0;0;0;0;366;0,0
