fuente;tabla;archivo_datos;orden_columna;columna;variable_original;representa;unidad_o_codificacion;origen;limitantes_metadato;notas_metadato;observacion_paa;fuente_definicion;estado_definicion
SNIG;DatosGenerales;data/processed/SNIG/DatosGenerales.csv;1;ID;ID;"Identificador técnico de la fila generado por el ETL; no identifica por sí solo un establecimiento.";Identificador;ETL del proyecto de ingeniería;;;;scripts/etl_snig_datos.py;"Derivada; documentada en código"
SNIG;DatosGenerales;data/processed/SNIG/DatosGenerales.csv;2;Anio;Ejercicio;Ejercicio ganadera al que corresponde la declaración;Ejercicio ganadero;Declaración Jurada Formulario A1;No hay;;"Ejercicio ganadero, renombrado Anio por el ETL; no asumir año calendario climático.";data/raw/SNIG/2025/metadatos/Metadatos/datosgenerales.csv | scripts/etl_snig_datos.py (renombre);Documentada en metadatos
SNIG;DatosGenerales;data/processed/SNIG/DatosGenerales.csv;3;DepartamentoCodigo;DepartamentoCodigo;Departamento en el que se encuentra registrado el tenedor;"Código; no es una magnitud continua";Registro de Tenedores de ganado;Pueden aparecen en algunos casos inconsistencias con el departamento del área de enumeración en la que está clasificado el establecimiento;;;data/raw/SNIG/2025/metadatos/Metadatos/datosgenerales.csv;Documentada en metadatos
SNIG;DatosGenerales;data/processed/SNIG/DatosGenerales.csv;4;SeccionalPolicialCodigo;SeccionalPolicialCodigo;Seccional policial en la cual se encuentra registrado el tenedor;"Código; no es una magnitud continua";Registro de Tenedores de ganado;;;;data/raw/SNIG/2025/metadatos/Metadatos/datosgenerales.csv;Documentada en metadatos
SNIG;DatosGenerales;data/processed/SNIG/DatosGenerales.csv;5;AreaSupervision;AreaSupervision;Área de Supervisión en la que se encuentra el establecimiento en función de los padrones declarados. Cuando pertenece a varias se considera la de mayor área;"Código; no es una magnitud continua";Ver área de enumeración;Ver área de enumeración;Ver área de enumeración;;data/raw/SNIG/2025/metadatos/Metadatos/datosgenerales.csv;Documentada en metadatos
SNIG;DatosGenerales;data/processed/SNIG/DatosGenerales.csv;6;AreaEnumeracion;AreaEnumeracion;Área de enumeración en la que se encuentra el establecimiento en función de los padrones declarados. Cuando pertenece a varias se considera la de mayor área;"Código; no es una magnitud continua";Calculado a partir de la Declaración Jurada formulario A1, el mapa de áreas de enumeración de DIEA y el catastro rural de la DGCN;No todos los productores declaran padrones, no todos los padrones están en el catastro rural. En algunos casos los padrones declarados se encuentran según el catastro rural en seccionales o departamentos diferentes al que se encuentra registrado el tenedor.;"En el mapa de tenedores con campo se incluye un contador ""sin AAEE"" indicando los establecimientos que no pudieron ser clasificados";"El código 0 se conserva y no se cuenta como faltante; no se presupone que sea un agregado.";data/raw/SNIG/2025/metadatos/Metadatos/datosgenerales.csv;Documentada en metadatos
SNIG;DatosGenerales;data/processed/SNIG/DatosGenerales.csv;7;ActividadCodigo;ActividadCodigo;La actividad se extrae del tercer y cuarto dígito del número de Dicose del declarante en función de los criterios establecidos en el momento de su asignación.;"Código; no es una magnitud continua";Declaración Jurada;Se han detectado algunos casos puntuales de inconsistencias entre la actividad y el giro declarado.;Cuenta con una tabla de códigos “Actividades”;;data/raw/SNIG/2025/metadatos/Metadatos/datosgenerales.csv;Documentada en metadatos
SNIG;DatosGenerales;data/processed/SNIG/DatosGenerales.csv;8;GiroCodigo;GiroCodigo;Giro principal declarado. Se utiliza para discriminar las diferentes clases de Tenedores sin Campo;"Código; no es una magnitud continua";Declaración Jurada Formulario A1;Se han detectado algunos casos puntuales de inconsistencias entre la actividad y el giro declarado;Cuenta con una tabla de códigos “Giros”;;data/raw/SNIG/2025/metadatos/Metadatos/datosgenerales.csv;Documentada en metadatos
SNIG;DatosGenerales;data/processed/SNIG/DatosGenerales.csv;9;NaturalezaJuridicaCodigo;NaturalezaJuridicaCodigo;Naturaleza jurídica con la que se encuentra registrada la empresa titular del Dicose en el registro de tenedores de ganado;"Código; no es una magnitud continua";Registro de tenedores de ganado;Hay casos aislados sin actualizar;Cuenta con una tabla de códigos “Naturalezas Jurídicas”;;data/raw/SNIG/2025/metadatos/Metadatos/datosgenerales.csv;Documentada en metadatos
SNIG;DatosGenerales;data/processed/SNIG/DatosGenerales.csv;10;EstratoCodigo;EstratoCodigo;Estrato de superficie al que pertenece el establecimiento según la superficie declarada. Los datos de lechería consideran animales PD y PF por lo que se incluye el estrato 0) que permite visualizar productores lecheros sin campo.;"Código; no es una magnitud continua";Calculado SNIG a partir de Declaración Jurada Formulario A1;No todos los productores declaran la superficie utilizada, por lo que puede haber animales en establecimientos de estrato 0;Cuenta con una tabla de códigos “Estratos”;;data/raw/SNIG/2025/metadatos/Metadatos/datosgenerales.csv;Documentada en metadatos
