fuente;tabla;columna;n_registros;n_vacios;n_marcadores_nulo;n_ceros;n_guiones;n_faltantes_csv;n_presentes;porcentaje_faltantes;interpretacion
SNIG;DatosAnimales;ID;215612;0;0;0;0;0;215612;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimales;Anio;215612;0;0;0;0;0;215612;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimales;DepartamentoCodigo;215612;0;0;0;0;0;215612;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimales;SeccionalPolicialCodigo;215612;0;0;36;0;0;215612;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimales;AreaSupervision;215612;0;0;15958;0;0;215612;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimales;AreaEnumeracion;215612;0;0;15958;0;0;215612;0,0;"El código 0 se conserva y no se cuenta como faltante; no se presupone que sea un agregado."
SNIG;DatosAnimales;ActividadCodigo;215612;0;0;1;215605;0;215612;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimales;GiroCodigo;215612;0;0;0;6590;0;215612;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimales;NaturalezaJuridicaCodigo;215612;0;0;595;0;0;215612;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimales;EstratoCodigo;215612;0;0;0;0;0;215612;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimales;EspecieCodigo;215612;0;0;0;0;0;215612;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimales;AnimalesPorEspecieConsumoPD_AD;215612;0;0;170378;0;0;215612;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimales;AnimalesPorEspecieNacimientosPD_AD;215612;0;0;167078;0;0;215612;0,0;"El metadato indica disponibilidad solo para bovinos; cero en otras especies no demuestra ausencia de nacimientos."
SNIG;DatosAnimales;AnimalesPorEspecieMortandadPD_AD;215612;0;0;148981;0;0;215612;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimales;CantidadTenedoresPorEspecie;215612;0;0;0;0;0;215612;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimales;AnimalesPorEspeciePD_AD;215612;0;0;38096;0;0;215612;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimales;AnimalesPorEspeciePD_PF;215612;0;0;43706;0;0;215612;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimales;EspecializacionMGAPCodigo;215612;112504;0;0;0;112504;103108;52,1789;"Vacíos contabilizados; el metadato 2025 no documenta su disponibilidad en cada ejercicio."
SNIG;DatosAnimales;TipoProduccionMGAPCodigo;215612;112504;0;0;0;112504;103108;52,1789;"Vacíos contabilizados; el metadato 2025 no documenta su disponibilidad en cada ejercicio."
SNIG;DatosAnimalesDetallados;ID;794445;0;0;0;0;0;794445;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimalesDetallados;Anio;794445;0;0;0;0;0;794445;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimalesDetallados;DepartamentoCodigo;794445;0;0;0;0;0;794445;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimalesDetallados;SeccionalPolicialCodigo;794445;0;0;99;0;0;794445;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimalesDetallados;AreaSupervision;794445;0;0;64977;0;0;794445;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimalesDetallados;AreaEnumeracion;794445;0;0;64977;0;0;794445;0,0;"El código 0 se conserva y no se cuenta como faltante; no se presupone que sea un agregado."
SNIG;DatosAnimalesDetallados;ActividadCodigo;794445;0;0;2;794423;0;794445;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimalesDetallados;GiroCodigo;794445;0;0;0;23128;0;794445;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimalesDetallados;NaturalezaJuridicaCodigo;794445;0;0;1787;0;0;794445;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimalesDetallados;EstratoCodigo;794445;0;0;0;0;0;794445;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimalesDetallados;EspecieCodigo;794445;0;0;0;0;0;794445;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimalesDetallados;CategoriaCodigo;794445;0;0;0;0;0;794445;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimalesDetallados;AnimalesPorCategoriaPD_AD;794445;0;0;88531;0;0;794445;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimalesDetallados;AnimalesPorCategoriaPD_PF;794445;0;0;112529;0;0;794445;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosAnimalesDetallados;EspecializacionMGAPCodigo;794445;447348;0;0;0;447348;347097;56,3095;"Vacíos contabilizados; el metadato 2025 no documenta su disponibilidad en cada ejercicio."
SNIG;DatosAnimalesDetallados;TipoProduccionMGAPCodigo;794445;447348;0;0;0;447348;347097;56,3095;"Vacíos contabilizados; el metadato 2025 no documenta su disponibilidad en cada ejercicio."
SNIG;DatosGenerales;ID;103543;0;0;0;0;0;103543;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosGenerales;Anio;103543;0;0;0;0;0;103543;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosGenerales;DepartamentoCodigo;103543;0;0;0;0;0;103543;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosGenerales;SeccionalPolicialCodigo;103543;0;0;1159;0;0;103543;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosGenerales;AreaSupervision;103543;0;0;11246;0;0;103543;0,0;"Vacíos y marcadores explícitos contabilizados; no se asigna una causa no documentada."
SNIG;DatosGenerales;AreaEnumeracion;103543;0;0;11246;0;0;103543;0,0;"El código 0 se conserva y no se cuenta como faltante; no se presupone que sea un agregado."
