variable,coeficiente,signo,coeficiente_absoluto
categorias__EstratoCodigo_9,4913450.532519818,positivo,4913450.532519818
numeros__vacas_ordene,3270072.8819090086,positivo,3270072.8819090086
categorias__EstratoCodigo_8,-2056820.7911878512,negativo,2056820.7911878512
numeros__UnidadesGanaderas,1591032.0970382725,positivo,1591032.0970382725
numeros__total_bovinos_leche,1462939.1167444775,positivo,1462939.1167444775
numeros__SuperficieGanadera,-911808.5021760598,negativo,911808.5021760598
categorias__NaturalezaJuridicaCodigo_13,-881409.831297177,negativo,881409.831297177
numeros__vaquillonas_1_2,-769666.4448213455,negativo,769666.4448213455
categorias__DepartamentoCodigo_5,709127.6292985454,positivo,709127.6292985454
categorias__EstratoCodigo_4,-558257.3980599759,negativo,558257.3980599759
categorias__EstratoCodigo_3,-543155.1704650818,negativo,543155.1704650818
numeros__terneras_menos_1,-523227.29362634575,negativo,523227.29362634575
categorias__EstratoCodigo_2,-491685.49047396646,negativo,491685.49047396646
numeros__vacas_secas,-480654.3093247815,negativo,480654.3093247815
categorias__EstratoCodigo_5,-462362.3657342144,negativo,462362.3657342144
categorias__GiroCodigo_03,-382204.61427513853,negativo,382204.61427513853
numeros__terneros_menos_1,-344704.3311570259,negativo,344704.3311570259
categorias__DepartamentoCodigo_3,282612.84060499014,positivo,282612.84060499014
numeros__Superficie,269777.28159851686,positivo,269777.28159851686
categorias__NaturalezaJuridicaCodigo_9,250853.44965642804,positivo,250853.44965642804
categorias__NaturalezaJuridicaCodigo_4,-232931.07489452738,negativo,232931.07489452738
categorias__NaturalezaJuridicaCodigo_1,226456.85677708386,positivo,226456.85677708386
categorias__EstratoCodigo_6,-213691.65217977032,negativo,213691.65217977032
numeros__vaquillonas_mas_2,-205421.74117314274,negativo,205421.74117314274
categorias__DepartamentoCodigo_9,177305.5358798423,positivo,177305.5358798423
numeros__toros,-162680.2317814464,negativo,162680.2317814464
categorias__NaturalezaJuridicaCodigo_12,140911.79115150354,positivo,140911.79115150354
categorias__NaturalezaJuridicaCodigo_8,122154.45262215071,positivo,122154.45262215071
categorias__DepartamentoCodigo_8,-118271.56772004394,negativo,118271.56772004394
categorias__DepartamentoCodigo_14,-114844.1946069719,negativo,114844.1946069719
categorias__DepartamentoCodigo_11,-101693.0563409691,negativo,101693.0563409691
categorias__EstratoCodigo_7,-100646.96416086567,negativo,100646.96416086567
categorias__NaturalezaJuridicaCodigo_6,-95163.69761654417,negativo,95163.69761654417
categorias__DepartamentoCodigo_19,84227.52470965097,positivo,84227.52470965097
categorias__DepartamentoCodigo_6,-82127.37998870882,negativo,82127.37998870882
categorias__DepartamentoCodigo_15,-79452.83855248717,negativo,79452.83855248717
categorias__NaturalezaJuridicaCodigo_2,75024.44263966638,positivo,75024.44263966638
categorias__DepartamentoCodigo_12,73057.0176900479,positivo,73057.0176900479
categorias__DepartamentoCodigo_16,-64114.507011789174,negativo,64114.507011789174
categorias__NaturalezaJuridicaCodigo_5,63921.12023983927,positivo,63921.12023983927
categorias__DepartamentoCodigo_7,-55873.08374225756,negativo,55873.08374225756
numeros__carga_ganadera,-53391.0275216043,negativo,53391.0275216043
categorias__DepartamentoCodigo_4,51539.248050575494,positivo,51539.248050575494
categorias__GiroCodigo_16,50586.25536839873,positivo,50586.25536839873
categorias__DepartamentoCodigo_18,-48308.63034929511,negativo,48308.63034929511
categorias__DepartamentoCodigo_10,46493.08413559533,positivo,46493.08413559533
categorias__NaturalezaJuridicaCodigo_11,37718.70418885961,positivo,37718.70418885961
categorias__GiroCodigo_02,-37191.029830815256,negativo,37191.029830815256
categorias__DepartamentoCodigo_2,-24523.808789002458,negativo,24523.808789002458
categorias__NaturalezaJuridicaCodigo_14,21329.412805126954,positivo,21329.412805126954
categorias__DepartamentoCodigo_13,-20222.83666701278,negativo,20222.83666701278
categorias__NaturalezaJuridicaCodigo_3,8300.344930803514,positivo,8300.344930803514
categorias__DepartamentoCodigo_17,-1784.854694679614,negativo,1784.854694679614
categorias__GiroCodigo_40,-1393.0539944319635,negativo,1393.0539944319635
